"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 10 06:25:10 PST 2026","Tue Feb 10 06:25:10 PST 2026","809","Suite","Test","com.DemoAPI2026.Tests.RegisterTest","com.DemoAPI2026.Tests.RegisterTest","loginTest","loginTest",""
"passed","Tue Feb 10 06:25:08 PST 2026","Tue Feb 10 06:25:10 PST 2026","1516","Suite","Test","com.DemoAPI2026.Tests.RegisterTest","com.DemoAPI2026.Tests.RegisterTest","registerUserTest","registerUserTest",""
